home team,away team,market spread,market odds,model consensus,model P(cover),model edge (%),model fair odds,# members cover
Hawaii,UC Irvine,Hawaii -2.5,Hawaii 100,-5.69,0.63,12.75,Hawaii -168.45,38
Richmond,Saint Joseph's,Richmond -8.5,Richmond -115,-11.23,0.61,7.17,Richmond -154.21,38
Iowa,Illinois,Iowa -1.5,Iowa -105,-2.13,0.52,1.21,Iowa -110.21,31
Iona,Canisius,Iona -11.5,Iona -110,-10.81,0.47,0.27,Canisius -111.18,9
Detroit Mercy,Cleveland St.,Detroit Mercy -7.5,Detroit Mercy -105,-3.93,0.36,10.37,Cleveland St. -176.72,0
Florida Atlantic,Memphis,Florida Atlantic -1.5,Florida Atlantic -120,-4.6,0.62,7.55,Florida Atlantic -163.85,38
Rice,Charlotte,Rice 1.5,Rice -120,0.69,0.53,1.23,Rice -114.19,34
East Carolina,UAB,East Carolina 8.5,East Carolina -110,9.98,0.44,3.34,UAB -125.83,3
Robert Morris,Purdue Fort Wayne,Robert Morris -5.5,Robert Morris -102,-3.88,0.44,2.15,Purdue Fort Wayne -128.75,2
Green Bay,Northern Kentucky,Green Bay 2.5,Green Bay -102,3.16,0.47,1.58,Northern Kentucky -110.75,12
Manhattan,Niagara,Manhattan -6.5,Manhattan -118,-8.28,0.57,2.83,Manhattan -132.32,38
Rider,Marist,Rider 10.5,Rider -105,12.86,0.41,5.46,Marist -143.57,1
Saint Peter's,Merrimack,Saint Peter's -2.5,Saint Peter's -108,-1.95,0.48,0.64,Merrimack -109.18,12
Mount St. Mary's,Siena,Mount St. Mary's 3.5,Mount St. Mary's -118,6.53,0.38,11.41,Siena -162.48,0
Sacred Heart,Quinnipiac,Sacred Heart 5.5,Sacred Heart -110,4.03,0.56,3.39,Sacred Heart -126.08,36
Milwaukee,IU Indy,Milwaukee -9.5,Milwaukee -112,-10.42,0.54,0.67,Milwaukee -115.07,32
Wichita St.,North Texas,Wichita St. -6.5,Wichita St. -112,-6.67,0.51,2.16,Wichita St. -102.72,21
Oakland,Wright St.,Oakland -4.5,Oakland -115,-3.3,0.45,3.37,Wright St. -120.22,3
UCF,Cincinnati,UCF -3.5,UCF -110,-9.39,0.71,19.01,UCF -249.57,38
Rutgers,Northwestern,Rutgers 4.5,Rutgers -110,6.34,0.43,4.66,Northwestern -132.76,0
Washington,Ohio St.,Washington -2.5,Washington 102,-2.23,0.49,3.1,Ohio St. -104.2,14
